# Time-averaged data for fix flux
# TimeStep c_jVz c_jQzIon c_jQzNa c_jVzIon c_jVzAvg c_jVzAvg_spce
920000 4407.52 -19.2107 -19.2107 -19.2107 18.4415 18.6782
930000 -1872.12 -7.71183 -7.71183 -7.71183 -7.83312 -7.86669
940000 342.238 20.5682 20.5682 20.5682 1.43196 1.35726
950000 472.557 2.17426 2.17426 2.17426 1.97722 1.98474
960000 5975.35 36.9546 36.9546 36.9546 25.0014 25.0565
970000 1140.64 4.49725 4.49725 4.49725 4.77255 4.79385
980000 2481.11 -5.82589 -5.82589 -5.82589 10.3812 10.4934
990000 3154.2 15.0955 15.0955 15.0955 13.1975 13.2452
1000000 454.137 -17.208 -17.208 -17.208 1.90016 1.9888
1010000 11744.9 96.0618 96.0618 96.0618 49.1418 49.1512
1020000 -1499.27 -21.2881 -21.2881 -21.2881 -6.27311 -6.23622
1030000 3683.94 35.3659 35.3659 35.3659 15.414 15.3948
1040000 20204.4 78.1578 78.1578 78.1578 84.5373 84.9209
1050000 852.991 70.0431 70.0431 70.0431 3.569 3.30358
1060000 5443.96 1.5332 1.5332 1.5332 22.7781 22.9638
1070000 10835.2 26.6529 26.6529 26.6529 45.3354 45.6055
1080000 7536.11 44.5379 44.5379 44.5379 31.5318 31.61
1090000 612.497 19.6563 19.6563 19.6563 2.56275 2.50144
1100000 11321.5 39.8733 39.8733 39.8733 47.3701 47.6016
1110000 7280.05 23.6327 23.6327 23.6327 30.4604 30.6178
1120000 8753.66 7.38192 7.38192 7.38192 36.6262 36.9041
1130000 1355.42 12.4823 12.4823 12.4823 5.67122 5.66641
1140000 1062.45 37.2728 37.2728 37.2728 4.4454 4.32564
1150000 17415.3 80.0631 80.0631 80.0631 72.8672 73.1443
1160000 7466.6 14.0726 14.0726 14.0726 31.241 31.4453
1170000 10267.9 26.0072 26.0072 26.0072 42.9618 43.2146
1180000 12538.3 58.0299 58.0299 58.0299 52.4615 52.6594
1190000 8390.15 40.9292 40.9292 40.9292 35.1052 35.2288
1200000 21512.9 99.1425 99.1425 99.1425 90.0122 90.3534
1210000 26165.8 116.914 116.914 116.914 109.48 109.911
1220000 10697.8 71.3584 71.3584 71.3584 44.7606 44.8373
1230000 8996.55 50.3385 50.3385 50.3385 37.6425 37.7477
1240000 1768.18 6.47707 6.47707 6.47707 7.39825 7.43335
1250000 397.271 1.96098 1.96098 1.96098 1.66222 1.66798
1260000 -886.639 -0.488528 -0.488528 -0.488528 -3.70979 -3.73903
1270000 1658.04 4.77359 4.77359 4.77359 6.93739 6.97579
1280000 -1133.74 -9.37376 -9.37376 -9.37376 -4.7437 -4.74418
1290000 61.2131 4.29154 4.29154 4.29154 0.256122 0.240175
